Date,Open,High,Low,Last,Volume,Log_Returns,DTB3,MSCI World Last,MSCI World Returns
2006-01-03,738.05,750.0,732.57,749.02,294910369.0,0.0147541124474075,4.07,1281.3,0.0174700653584916
2006-01-04,749.02,754.37,748.17,754.08,266155839.0,0.0067327777450075,4.09,1295.12,0.0107281674177197
2006-01-05,754.08,755.48,751.25,754.3,284728267.0,0.0002917036841643,4.1,1295.4,0.0002161728155664
2006-01-06,754.3,763.03,754.21,762.78,262444141.0,0.011179487330501,4.12,1308.15,0.0097943975922876
2006-01-09,762.78,769.79,762.78,768.71,271906502.0,0.0077441310565779,4.14,1309.42,0.0009703657206138
2006-01-10,768.71,771.36,764.77,771.34,265693117.0,0.0034154768438484,4.19,1304.19,-0.0040021326676661
2006-01-12,772.41,773.02,766.51,767.04,250362947.0,-0.0069765458842943,4.22,1307.65,-0.003046629495969
2006-01-13,767.04,768.68,765.36,766.73,204333685.0,-0.0004042327131463,4.23,1306.77,-0.0006731894900081
2006-01-17,766.73,766.73,759.82,763.44,209159462.0,-0.0043001824238746,4.28,1295.45,-0.009205253100671
2006-01-18,763.44,764.41,757.48,761.8,234767948.0,-0.0021504820644948,4.25,1285.17,-0.0079671198214829
2006-01-19,761.8,772.04,761.8,771.48,244308107.0,0.0126266938970921,4.25,1296.51,0.0087850337237758
2006-01-20,771.48,771.8,758.61,758.61,272319064.0,-0.0168229365959854,4.25,1281.7,-0.0114887172868549
2006-01-23,758.61,763.02,758.14,761.34,233711456.0,0.003592227291268,4.28,1286.6,0.0038157582411214
2006-01-24,761.34,768.85,761.34,767.95,331466018.0,0.008644588224759,4.3,1289.02,0.0018791597457184
2006-01-25,767.95,771.06,759.94,762.96,372063573.0,-0.0065190215909803,4.32,1291.07,0.0015890921877847
2006-01-27,771.75,779.61,770.93,775.27,363614366.0,0.0045506923951591,4.34,1311.68,0.0078835184383395
2006-01-30,775.27,779.1,775.12,776.56,296430323.0,0.0016625536265428,4.38,1311.64,-3.0495707731491737e-05
2006-01-31,776.56,781.74,773.66,781.02,346632824.0,0.0057268483024531,4.37,1313.21,0.0011962589764955
2006-02-01,781.02,784.48,778.69,781.93,353783529.0,0.0011644647657677,4.37,1314.58,0.0010427013757757
2006-02-02,781.93,781.95,771.98,774.99,376783006.0,-0.0089150964278984,4.37,1304.52,-0.0076820659566031
2006-02-03,774.99,777.13,769.62,772.55,274383878.0,-0.0031533944478661,4.37,1296.13,-0.0064522554802892
2006-02-06,772.55,776.09,771.74,776.02,264378637.0,0.0044815614505448,4.38,1297.85,0.0013261476588681
2006-02-07,776.02,776.02,765.63,765.86,322112564.0,-0.0131789076344389,4.39,1289.58,-0.0063924652352488
2006-02-08,765.86,769.21,762.23,768.26,293942360.0,0.003128832109506,4.4,1288.61,-0.0007524659127281
2006-02-10,765.22,766.67,757.86,765.47,310187993.0,0.0003266500757475,4.42,1291.21,-0.0020193196109051
2006-02-13,765.47,765.47,757.92,759.52,243948904.0,-0.0078033694549312,4.45,1286.07,-0.00398870655473
2006-02-14,759.52,767.17,755.87,765.51,298311972.0,0.0078556235666884,4.45,1293.62,0.0058534332085824
2006-02-15,765.51,770.02,763.16,767.94,295627663.0,0.003169326726059,4.44,1295.82,0.0016992095042486
2006-02-16,767.94,774.92,767.94,774.73,284178691.0,0.0088029764599339,4.44,1303.18,0.005663731954144
2006-02-17,774.73,776.32,772.4,774.61,244484241.0,-0.0001549046693946,4.43,1301.88,-0.0009980577091605
